Estação;N__Lab_;X;Y;Folha;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
ED0040A;CDP 564;263223;7939033;Monte Carmelo;0.01;0.86;7.0;93.0;1.4;0.23;0.04;0.05;57.0;8.4;32;2.51;17.6;2.5;4.9;0.05;0.03;0.03;0.17;24.3;6.0;81.3;0.1;398;0.6;0.81;9.3;168.0;8.9;20.5;0.22;5.4;1.5;8.1;6.6;0.04;1.14;35;0.1;7.46;28;4.7
ED0041;CDP 565;263293;7938744;Monte Carmelo;0.01;0.79;12.0;57.0;1.2;0.37;0.03;0.02;40.29;7.8;29;2.98;11.7;2.01;4.5;0.05;0.02;0.02;0.13;16.1;6.0;56.39;0.07;469;0.56;0.64;6.6;116.0;10.0;18.6;0.25;3.9;1.6;5.4;5.5;0.03;0.95;31;0.2;4.19;17;6.0
ED0042;CDP 566;267601;7934420;Monte Carmelo;0.01;3.73;1.0;82.0;2.0;0.36;0.05;0.03;73.35;10.6;55;5.9;26.2;4.3;14.1;0.05;0.04;0.07;0.13;20.7;14.0;94.05;0.05;530;0.74;0.86;12.2;406.0;13.6;18.4;0.27;11.4;2.8;6.8;9.8;0.03;1.24;71;0.3;9.41;29;7.8
ED0043;CDP 567;266282;7935580;Monte Carmelo;0.01;1.07;19.0;77.0;1.3;0.29;0.03;0.02;125.1;10.4;26;3.11;12.0;2.46;6.1;0.05;0.02;0.02;0.16;61.2;6.0;186.3;0.08;994;0.55;0.83;7.1;50.0;10.1;19.1;0.19;4.5;1.6;3.8;22.1;0.08;2.4;35;0.2;7.58;17;5.2
ED0044;CDP 568;263066;7926997;Monte Carmelo;0.01;0.89;10.0;57.0;1.5;0.29;0.05;0.03;40.19;9.0;26;2.27;12.5;2.5;5.3;0.05;0.02;0.03;0.08;16.7;5.0;56.89;0.06;275;0.32;0.97;6.1;165.0;7.2;14.1;0.14;7.5;1.6;3.6;5.0;0.07;0.91;50;0.2;8.44;17;3.2
ED0045;CDP 569;263830;7947382;Monte Carmelo;0.01;1.68;11.0;235.0;3.6;0.14;0.07;0.17;96.88;36.9;55;5.07;29.5;4.94;11.3;0.05;0.02;0.06;0.66;37.6;11.0;134.48;0.52;1072;0.68;0.81;21.7;428.0;13.8;97.3;0.23;19.1;1.9;10.1;10.9;0.14;1.2;92;0.2;18.74;65;6.3
ED0046;CDP 570;263500;7950660;Monte Carmelo;0.01;0.7;1.0;217.0;1.6;0.16;0.05;0.03;80.87;26.4;35;1.69;24.3;2.79;4.6;0.05;0.01;0.03;0.27;30.8;4.0;111.67;0.13;665;0.7;0.43;20.8;349.0;10.9;27.5;0.27;5.3;1.4;25.4;6.6;0.04;0.96;42;0.1;10.97;27;13.6
ED0047;CDP 571;266667;7947893;Monte Carmelo;0.01;2.65;8.0;109.0;2.5;0.19;0.05;0.05;90.76;53.8;234;1.73;47.2;8.68;16.3;0.09;0.02;0.1;0.15;28.6;6.0;119.36;0.08;1155;1.46;1.18;22.0;476.0;16.0;18.9;0.62;29.5;2.5;7.0;12.5;0.13;2.0;188;0.2;13.44;39;9.5
ED0048;CDP 572;271882;7946430;Monte Carmelo;0.01;0.69;1.0;102.0;0.7;0.11;0.03;0.03;58.14;14.5;70;0.75;15.3;2.79;4.8;0.05;0.01;0.03;0.1;24.0;4.0;82.14;0.06;765;0.75;1.45;12.9;126.0;7.3;8.5;0.37;4.9;1.3;10.3;6.0;0.06;0.89;41;0.1;3.7;19;13.7
ED0049;CDP 573;274341;7946554;Monte Carmelo;0.01;1.59;1.0;116.0;1.4;0.16;0.05;0.09;90.2;30.5;69;1.37;42.1;4.83;9.7;0.05;0.01;0.04;0.08;30.5;9.0;120.7;0.13;949;0.97;0.71;33.7;301.0;15.9;12.0;0.89;8.3;2.1;8.6;6.1;0.03;1.19;67;0.1;13.53;54;13.3
ED0050A;CDP 574;270396;7949786;Monte Carmelo;0.01;0.86;13.0;216.0;1.3;0.13;0.08;0.08;92.87;37.3;50;1.49;40.3;4.11;7.0;0.07;0.02;0.03;0.16;41.4;10.0;134.27;0.25;1666;0.68;0.82;43.7;334.0;14.7;18.2;0.47;5.7;1.7;16.8;6.3;0.04;0.81;58;0.2;14.1;60;20.6
ED0051;CDP 575;267749;7948287;Monte Carmelo;0.01;0.62;2.0;117.0;1.1;0.23;0.04;0.06;66.05;16.3;29;0.81;21.2;2.93;4.8;0.05;0.01;0.03;0.16;24.6;5.0;90.65;0.09;606;0.67;0.46;17.7;184.0;12.7;12.7;0.27;5.6;1.6;12.0;7.7;0.02;0.99;31;0.1;10.09;29;8.0
ED0052;CDP 576;270881;7948092;Monte Carmelo;0.01;0.89;10.0;79.0;0.9;0.12;0.02;0.04;69.65;10.3;60;0.93;21.1;3.08;6.2;0.05;0.02;0.03;0.09;29.9;4.0;99.55;0.07;283;0.61;1.24;14.6;179.0;10.2;9.4;0.4;5.8;1.6;7.4;7.3;0.04;0.98;50;0.1;6.64;23;9.3
ED0053;CDP 577;274650;7952801;Monte Carmelo;0.01;0.95;1.0;209.0;1.2;0.12;0.03;0.06;122.01;24.6;108;1.02;34.1;5.42;8.8;0.32;0.02;0.06;0.18;37.5;6.0;159.51;0.18;671;1.07;3.55;33.0;211.0;10.2;17.6;0.75;9.3;2.3;16.4;8.4;0.11;1.13;110;0.2;6.98;34;34.9
ED0054;CDP 578;275959;7951505;Monte Carmelo;0.01;1.41;1.0;299.0;1.8;0.1;0.06;0.16;111.07;40.2;70;1.24;45.2;4.7;8.7;0.18;0.02;0.04;0.39;40.4;16.0;151.47;0.44;1196;0.74;0.97;54.4;452.0;11.9;38.9;0.53;7.1;1.9;27.1;6.2;0.04;0.9;71;0.1;12.09;87;38.5
ED0055;CDP 579;276058;7951532;Monte Carmelo;0.01;1.27;8.0;191.0;1.3;0.12;0.06;0.09;92.47;29.4;146;0.91;35.5;4.84;8.1;0.08;0.01;0.03;0.28;37.9;12.0;130.37;0.26;1050;1.05;2.21;58.4;412.0;12.0;27.2;0.63;6.3;1.7;15.4;6.1;0.07;0.82;71;0.1;7.61;55;32.3
ED0056;CDP 580;254190;7952165;Monte Carmelo;0.01;0.58;1.0;65.0;0.7;0.1;0.04;0.05;34.23;12.6;15;0.75;13.8;2.1;3.0;0.05;0.01;0.02;0.12;11.8;4.0;46.03;0.04;959;0.73;0.24;6.9;50.0;6.4;10.0;0.22;2.7;1.0;5.8;3.1;0.01;0.5;20;0.1;3.21;19;3.0
ED0057;CDP 581;257010;7950604;Monte Carmelo;0.01;0.78;11.0;73.0;0.9;0.16;0.04;0.04;49.84;14.4;26;0.99;16.3;3.33;4.8;0.05;0.01;0.02;0.13;18.1;4.0;67.94;0.04;939;1.48;0.22;8.9;206.0;9.3;11.3;0.6;4.0;1.3;5.6;4.2;0.01;0.63;31;0.2;4.55;20;3.7
ED0058;CDP 582;255062;7933417;Monte Carmelo;0.01;1.11;3.0;92.0;1.1;0.41;0.1;0.04;48.6;16.5;29;1.92;14.9;3.46;5.4;0.05;0.07;0.03;0.15;21.5;5.0;70.1;0.12;1254;0.74;1.15;6.2;90.0;8.3;16.1;0.12;7.7;1.5;5.8;6.8;0.15;1.15;51;0.4;6.25;20;5.1
ED0059;CDP 583;259665;7935335;Monte Carmelo;0.01;2.31;9.0;71.0;1.9;0.32;0.11;0.19;60.21;53.3;160;2.42;71.8;10.72;19.8;0.06;0.03;0.14;0.07;17.7;7.0;77.91;0.18;635;1.09;1.23;29.8;488.0;7.6;14.7;0.91;44.6;2.8;4.9;4.8;0.15;0.89;315;0.5;20.88;65;6.2
ED0060A;CDP 584;254483;7927400;Monte Carmelo;0.01;1.8;1.0;110.0;2.0;0.36;0.06;0.04;328.66;12.4;51;3.53;19.2;3.34;11.7;0.11;0.02;0.03;0.4;131.2;11.0;459.86;0.16;937;0.93;1.8;18.4;183.0;16.9;42.5;0.3;6.6;2.2;10.7;76.5;0.21;7.75;38;0.3;19.45;37;8.7
ED0061;CDP 585;258793;7926928;Monte Carmelo;0.01;1.51;1.0;109.0;2.2;0.73;0.14;0.09;126.4;8.7;23;4.05;16.6;2.68;7.9;0.16;0.02;0.03;0.38;64.3;11.0;190.7;0.14;900;0.63;2.75;7.1;68.0;19.7;53.2;0.29;6.1;2.5;13.5;38.2;0.37;5.04;37;0.2;11.23;42;14.3
ED0062;CDP 586;260510;7932268;Monte Carmelo;0.01;2.24;1.0;120.0;3.0;0.63;0.13;0.04;67.25;18.0;32;6.17;19.8;3.48;10.8;0.07;0.02;0.05;0.28;30.5;11.0;97.75;0.21;1108;0.65;1.13;8.7;152.0;12.4;40.1;0.24;14.3;2.8;7.9;8.9;0.09;1.7;76;0.5;15.99;30;8.5
ED0063;CDP 587;258903;7930304;Monte Carmelo;0.01;0.9;1.0;56.0;1.6;0.35;0.07;0.03;33.09;9.3;20;3.55;12.8;2.21;5.6;0.09;0.01;0.03;0.11;14.1;5.0;47.19;0.09;470;0.38;0.68;2.9;50.0;7.3;19.2;0.09;9.4;1.7;3.8;6.4;0.07;1.27;59;0.2;7.04;16;5.3
ED0064;CDP 588;255994;7943400;Monte Carmelo;0.01;0.96;1.0;102.0;1.2;0.28;0.05;0.03;41.02;13.4;41;1.68;14.2;2.71;4.6;0.05;0.01;0.02;0.18;17.5;6.0;58.52;0.08;976;0.69;1.03;11.6;86.0;10.9;16.7;0.21;5.2;1.3;9.8;5.0;0.03;0.9;38;0.4;4.91;20;7.0
ED0065;CDP 589;255366;7942353;Monte Carmelo;0.01;1.92;9.0;113.0;3.0;0.37;0.13;0.08;73.41;24.7;83;4.52;34.4;5.43;10.6;0.05;0.02;0.05;0.32;31.1;13.0;104.51;0.28;970;0.72;1.03;23.9;295.0;14.0;37.7;0.21;17.4;2.2;11.3;9.1;0.1;1.49;100;0.2;10.33;50;4.6
ED0066;CDP 590;257811;7944200;Monte Carmelo;0.01;0.74;2.0;49.0;1.5;0.35;0.04;0.04;41.97;6.2;37;1.44;17.2;2.83;4.3;0.05;0.01;0.02;0.11;19.2;4.0;61.17;0.06;318;0.59;4.86;6.2;306.0;10.3;14.7;0.29;5.8;1.3;3.6;5.5;0.03;1.46;38;0.2;5.58;22;1.3
ED0067;CDP 591;257570;7942822;Monte Carmelo;0.01;0.73;2.0;61.0;1.5;0.41;0.04;0.03;52.85;7.2;23;3.13;9.9;1.65;4.2;0.05;0.01;0.02;0.13;22.2;7.0;75.05;0.06;475;0.42;0.96;5.8;112.0;10.5;21.5;0.16;3.5;1.5;5.7;6.7;0.03;1.35;25;0.1;4.27;16;3.8
ED0068;CDP 592;257100;7942200;Monte Carmelo;0.01;0.66;1.0;93.0;0.9;0.12;0.04;0.03;38.39;13.5;48;0.97;13.9;2.49;4.3;0.05;0.01;0.02;0.13;17.1;4.0;55.49;0.08;850;0.62;0.66;11.7;180.0;7.9;13.4;0.31;4.9;1.3;10.3;4.5;0.03;0.79;36;0.1;4.69;20;6.9
ED0069;CDP 593;258501;7943420;Monte Carmelo;0.01;1.05;7.0;86.0;3.8;2.85;0.06;0.03;67.32;8.8;25;7.99;12.7;3.31;5.9;0.12;0.02;0.02;0.29;25.6;15.0;92.92;0.08;734;0.91;0.78;6.2;182.0;35.5;39.0;0.36;5.7;2.3;4.7;13.3;0.03;2.51;37;0.2;7.41;28;9.1
ED0070A;CDP 594;259622;7940145;Monte Carmelo;0.01;0.97;1.0;86.0;2.6;0.77;0.07;0.03;51.15;6.2;21;3.81;8.7;2.37;5.2;0.05;0.01;0.02;0.17;21.1;10.0;72.25;0.09;273;0.48;0.77;4.5;162.0;16.0;30.3;0.2;5.4;1.9;5.8;6.0;0.04;1.58;34;0.1;6.95;16;2.0
ED0071;CDP 595;261438;7942659;Monte Carmelo;0.01;1.27;1.0;90.0;5.1;0.92;0.06;0.11;66.48;10.4;22;11.8;17.9;2.46;7.6;0.05;0.03;0.03;0.16;27.7;18.0;94.18;0.09;268;0.47;1.04;6.1;296.0;21.5;53.2;0.24;6.6;3.3;6.4;6.4;0.03;2.43;43;0.2;9.66;33;1.3
ED0072;CDP 596;261440;7944265;Monte Carmelo;0.01;0.73;3.0;104.0;1.0;0.15;0.04;0.07;72.64;16.7;61;1.06;17.3;2.89;5.3;0.05;0.01;0.03;0.15;30.3;4.0;102.94;0.09;649;0.73;1.19;15.0;150.0;11.2;15.4;0.27;6.0;1.5;9.7;8.9;0.06;1.1;44;0.1;7.1;24;10.4
ED0073;CDP 597;261583;7945648;Monte Carmelo;0.01;0.95;4.0;91.0;2.0;0.31;0.06;0.06;54.05;16.5;34;3.16;19.3;3.47;6.2;0.05;0.01;0.03;0.19;21.7;7.0;75.75;0.12;759;1.35;1.48;13.9;192.0;10.2;30.0;0.28;7.8;2.0;6.5;6.6;0.03;0.87;44;0.4;9.69;43;2.3
ED0074;CDP 598;257822;7951197;Monte Carmelo;0.01;1.1;1.0;82.0;1.5;0.18;0.04;0.04;66.53;7.6;21;1.35;21.3;2.66;6.3;0.05;0.01;0.03;0.12;22.7;7.0;89.23;0.08;290;0.67;0.37;8.8;130.0;11.0;15.5;0.32;5.7;1.5;6.0;6.8;0.01;0.8;37;0.1;7.18;25;5.8
ED0075;CDP 599;258111;7950748;Monte Carmelo;0.01;0.71;1.0;58.0;0.9;0.14;0.04;0.04;49.75;8.6;17;0.96;17.2;2.46;4.1;0.05;0.02;0.02;0.15;18.2;5.0;67.95;0.05;451;1.07;0.48;7.4;123.0;9.1;13.3;0.29;3.5;1.1;5.6;5.1;0.01;0.64;25;0.2;5.05;22;4.1
MR0001;CDP 648;264215;7924621;Monte Carmelo;0.01;1.86;2.0;135.0;3.1;0.47;0.14;0.16;127.83;32.3;60;6.37;34.0;4.57;10.7;0.05;0.01;0.06;0.21;53.9;11.0;181.73;0.21;1399;0.79;0.86;27.9;177.0;31.3;33.6;0.38;21.6;2.7;10.3;19.7;0.15;2.2;88;0.2;18.15;64;7.3
MR0002;CDP 649;267329;7921159;Monte Carmelo;0.01;1.84;41.0;148.0;3.9;0.61;0.08;0.11;101.5;16.7;32;4.52;22.1;6.61;9.9;0.05;0.02;0.05;0.21;38.9;10.0;140.4;0.12;652;0.75;0.72;12.9;360.0;31.5;34.3;0.69;16.7;3.1;6.9;12.2;0.03;1.99;75;0.2;16.05;26;6.0
MR0003;CDP 650;264755;7916565;Monte Carmelo;0.01;1.08;3.0;46.0;0.7;0.15;0.03;0.02;62.69;5.2;17;1.72;10.3;1.47;5.4;0.05;0.01;0.03;0.07;28.4;3.0;91.09;0.03;187;0.42;0.26;6.5;81.0;12.2;10.8;0.42;5.1;1.7;3.3;7.4;0.01;1.5;22;0.1;12.72;14;1.4
MR0004;CDP 651;266266;7916503;Monte Carmelo;0.01;1.69;5.0;77.0;1.7;0.36;0.06;0.03;95.25;16.7;35;3.64;19.4;3.57;9.5;0.05;0.02;0.04;0.11;40.0;7.0;135.25;0.07;641;0.58;1.81;12.1;131.0;16.7;19.1;0.48;14.2;2.7;4.7;13.5;0.04;2.14;68;0.3;14.43;28;4.6
MR0005;CDP 652;263579;7916921;Monte Carmelo;0.01;1.45;5.0;111.0;2.3;0.38;0.16;0.07;74.86;22.6;44;2.4;22.0;3.97;8.4;0.05;0.01;0.05;0.17;32.9;7.0;107.76;0.17;824;0.55;1.74;15.8;193.0;17.9;31.1;0.57;18.8;3.2;9.4;10.9;0.08;2.42;81;2.9;16.2;33;3.8
MR0006;CDP 653;264975;7913922;Monte Carmelo;0.01;1.56;3.0;115.0;1.2;0.25;0.1;0.04;105.74;20.8;49;1.78;18.8;3.84;8.1;0.05;0.02;0.04;0.13;43.2;5.0;148.94;0.09;1333;0.64;1.58;12.9;309.0;18.2;18.5;0.47;13.6;2.2;6.5;22.7;0.07;2.26;88;0.2;10.82;27;4.9
MR0007;CDP 654;266441;7912273;Monte Carmelo;0.01;1.11;2.0;78.0;1.2;0.37;0.05;0.03;86.41;13.5;27;3.3;12.7;2.97;6.3;0.05;0.01;0.03;0.14;36.6;5.0;123.01;0.08;857;0.53;0.93;8.9;199.0;16.9;24.5;0.38;8.1;2.2;4.1;17.9;0.06;2.24;48;0.2;8.36;18;3.7
MR0008;CDP 655;264082;7905798;Monte Carmelo;0.01;1.55;4.0;107.0;1.0;0.16;0.05;0.04;196.12;41.1;48;1.55;20.0;5.98;9.7;0.05;0.01;0.05;0.1;99.6;3.0;295.72;0.05;853;0.59;0.83;13.6;323.0;18.2;12.4;0.54;16.2;2.7;4.6;34.2;0.05;3.32;87;0.1;16.22;16;4.6
MR0009;CDP 656;269846;7914961;Monte Carmelo;0.01;1.36;5.0;51.0;1.0;0.24;0.03;0.02;88.89;6.9;23;2.41;11.0;2.2;6.5;0.05;0.01;0.02;0.09;40.3;4.0;129.19;0.04;292;0.47;0.63;7.7;183.0;10.8;13.3;0.29;5.8;2.0;2.7;13.2;0.02;2.09;33;0.2;10.96;14;1.9
MR0010A;CDP 657;265940;7902812;Monte Carmelo;0.01;1.59;4.0;89.0;1.1;0.16;0.05;0.04;143.36;34.5;39;1.74;17.9;4.08;9.4;0.05;0.01;0.05;0.11;71.7;3.0;215.06;0.05;962;0.61;0.65;12.2;219.0;19.1;15.7;0.51;14.1;2.7;4.4;27.2;0.05;3.26;74;0.1;13.15;16;5.4
MR0011;CDP 658;264649;7902055;Monte Carmelo;0.01;4.29;8.0;86.0;1.7;0.25;0.07;0.05;268.13;26.8;77;3.07;31.8;8.49;21.8;0.05;0.03;0.1;0.14;113.9;6.0;382.03;0.07;591;0.89;2.91;17.3;338.0;27.5;22.5;0.86;33.1;4.9;10.5;48.5;0.07;4.25;209;0.4;19.88;30;10.2
MR0012;CDP 659;265187;7897972;Monte Carmelo;0.01;1.31;14.0;81.0;1.1;0.27;0.04;0.03;118.9;20.3;37;2.55;22.5;3.7;6.9;0.05;0.01;0.04;0.23;50.3;5.0;169.2;0.1;557;0.67;1.16;18.8;274.0;16.2;28.7;0.57;10.2;2.2;5.0;16.2;0.03;2.26;64;0.1;16.48;31;4.3
MR0013;CDP 660;267209;7899224;Monte Carmelo;0.01;3.1;7.0;128.0;2.0;0.22;0.05;0.06;120.43;54.4;56;3.41;26.9;7.9;15.2;0.05;0.02;0.08;0.14;49.8;6.0;170.23;0.06;1598;0.96;1.05;19.2;353.0;20.1;20.1;0.73;26.1;4.4;3.7;18.5;0.05;2.84;138;0.2;18.52;30;6.0
MR0014;CDP 661;268046;7901229;Monte Carmelo;0.01;2.17;2.0;68.0;4.0;0.28;0.06;0.04;247.87;20.5;35;4.64;18.9;3.59;8.8;0.05;0.01;0.04;0.22;105.0;10.0;352.87;0.1;763;0.61;3.93;16.7;339.0;20.9;29.1;0.32;12.6;3.0;8.2;63.7;0.25;6.44;64;0.1;23.63;37;10.4
MR0015;CDP 662;272884;7920194;Monte Carmelo;0.01;2.38;5.0;122.0;6.2;0.66;0.09;0.03;69.31;44.2;41;5.47;20.9;3.78;9.1;0.05;0.01;0.03;0.25;28.4;13.0;97.71;0.11;1027;0.49;2.5;18.0;330.0;21.7;31.6;0.32;15.8;2.7;9.6;11.8;0.05;2.43;64;0.2;14.39;31;6.7
MR0016;CDP 663;274637;7922498;Monte Carmelo;0.01;1.77;5.0;114.0;3.3;0.45;0.06;0.03;79.82;21.4;30;3.3;16.4;3.06;6.5;0.05;0.01;0.02;0.28;34.6;10.0;114.42;0.1;946;0.61;2.16;15.4;417.0;17.3;27.3;0.28;9.8;1.9;7.0;12.8;0.05;2.2;39;0.1;13.0;30;4.8
MR0017;CDP 664;274953;7923436;Monte Carmelo;0.01;1.56;4.0;79.0;1.4;0.21;0.02;0.02;58.68;10.1;27;1.31;16.3;2.65;5.6;0.05;0.01;0.02;0.14;23.4;6.0;82.08;0.04;279;0.73;4.29;14.1;295.0;9.5;11.5;0.4;6.5;1.7;7.5;7.1;0.03;1.04;35;1.4;7.75;24;8.6
MR0018;CDP 665;277223;7921121;Monte Carmelo;0.01;0.78;6.0;59.0;1.1;0.15;0.04;0.03;74.8;10.5;19;1.19;10.7;2.11;3.5;0.05;0.01;0.02;0.14;34.1;6.0;108.9;0.05;484;0.52;1.59;10.0;286.0;11.1;12.8;0.31;4.4;1.2;4.7;13.3;0.04;1.4;22;0.5;9.16;23;5.0
MR0019;CDP 666;276257;7918803;Monte Carmelo;0.01;1.27;8.0;58.0;1.7;0.2;0.02;0.01;114.93;12.8;27;2.3;16.0;2.87;5.6;0.05;0.01;0.02;0.18;52.3;8.0;167.23;0.05;419;0.53;1.79;12.7;313.0;13.5;18.3;0.35;8.0;9.4;3.1;23.2;0.06;2.28;38;0.3;12.22;33;6.2
MR0020A;CDP 667;272403;7924988;Monte Carmelo;0.01;1.52;7.0;85.0;1.6;0.21;0.02;0.04;54.23;16.7;31;1.56;26.1;3.29;6.3;0.05;0.01;0.03;0.21;22.0;11.0;76.23;0.12;249;0.63;1.12;24.8;416.0;13.4;16.3;0.38;8.0;1.4;4.5;5.7;0.02;0.73;42;0.2;11.92;48;6.5
MR0021;CDP 668;276437;7924649;Monte Carmelo;0.01;1.21;2.0;57.0;1.1;0.12;0.02;0.02;53.61;12.9;21;0.85;14.0;2.39;4.8;0.05;0.01;0.02;0.16;22.5;7.0;76.11;0.05;430;0.4;0.62;15.0;266.0;9.9;11.0;0.34;4.1;1.0;4.0;5.8;0.01;0.65;28;0.2;4.71;25;8.0
MR0022;CDP 669;268621;7925680;Monte Carmelo;0.01;0.87;3.0;58.0;2.6;0.34;0.05;0.01;89.92;8.5;24;3.32;10.5;2.02;4.2;0.05;0.01;0.02;0.2;41.8;9.0;131.72;0.08;338;0.31;1.87;8.5;323.0;12.0;29.2;0.22;5.5;1.6;4.6;16.7;0.06;2.28;30;0.1;10.07;21;6.7
MR0023;CDP 670;269595;7926494;Monte Carmelo;0.01;1.03;5.0;79.0;2.0;0.25;0.03;0.02;87.46;14.3;23;2.3;14.9;2.38;4.7;0.05;0.01;0.02;0.19;38.0;8.0;125.46;0.07;606;0.37;2.03;12.7;255.0;13.0;21.6;0.28;7.1;1.5;4.5;12.4;0.06;1.67;35;0.1;12.49;39;6.9
MR0024;CDP 671;268926;7927544;Monte Carmelo;0.01;1.63;4.0;115.0;4.1;0.42;0.08;0.01;96.08;13.9;30;4.15;15.0;2.84;6.7;0.05;0.01;0.02;0.34;43.0;14.0;139.08;0.13;898;0.44;2.27;13.4;311.0;18.9;42.4;0.31;8.2;2.3;9.4;18.4;0.07;2.52;40;0.1;11.39;27;9.9
MR0025;CDP 672;273549;7905353;Monte Carmelo;0.01;3.72;5.0;83.0;2.7;0.23;0.03;0.02;115.13;18.0;50;4.36;23.0;4.96;13.1;0.05;0.01;0.05;0.26;41.9;9.0;157.03;0.1;581;0.76;2.92;18.5;335.0;15.2;28.8;0.42;17.9;3.3;5.0;19.0;0.1;3.18;82;0.3;15.45;36;9.0
MR0026;CDP 673;274683;7906850;Monte Carmelo;0.01;1.51;9.0;56.0;1.0;0.17;0.03;0.01;161.22;6.0;27;1.71;12.9;2.26;6.0;0.05;0.01;0.03;0.17;71.7;5.0;232.92;0.04;247;0.52;1.41;9.6;246.0;10.4;14.2;0.37;7.1;1.7;4.3;26.3;0.05;3.4;31;0.1;17.48;21;8.0
MR0027;CDP 674;281194;7923429;Monte Carmelo;0.01;4.69;3.0;96.0;6.0;0.24;0.07;0.01;111.62;25.2;46;5.48;36.9;1.86;16.6;0.05;0.01;0.07;0.16;39.5;47.0;151.12;0.08;520;0.36;0.71;32.6;306.0;23.4;23.6;0.51;18.9;3.0;9.2;9.0;0.01;1.8;57;0.1;8.44;24;6.6
MR0028;CDP 675;281681;7924735;Monte Carmelo;0.01;1.14;3.0;60.0;1.4;0.15;0.02;0.02;51.67;9.2;23;0.77;17.6;2.78;5.2;0.05;0.01;0.02;0.16;22.3;6.0;73.97;0.03;213;0.46;0.48;16.0;288.0;12.3;10.4;0.42;4.2;1.0;3.3;6.0;0.01;0.71;30;0.1;4.89;26;7.2
MR0030A;CDP 677;277305;7918446;Monte Carmelo;0.01;2.33;15.0;166.0;3.0;0.25;0.04;0.06;80.12;28.7;28;2.64;23.2;5.49;8.4;0.05;0.01;0.04;0.39;33.6;14.0;113.72;0.11;762;0.85;1.44;23.2;384.0;18.3;30.7;0.44;11.7;2.0;6.6;9.3;0.03;1.44;46;0.1;21.05;54;6.8
MR0031;CDP 678;278729;7921572;Monte Carmelo;0.01;2.31;4.0;107.0;1.6;0.16;0.02;0.03;69.7;11.5;37;1.61;23.5;3.3;7.9;0.05;0.01;0.03;0.2;26.1;8.0;95.8;0.05;203;0.65;1.34;20.0;440.0;11.6;14.6;0.43;8.3;1.6;9.3;6.4;0.02;1.14;47;0.1;9.76;36;8.0
MR0032;CDP 679;276959;7902934;Monte Carmelo;0.01;3.09;14.0;66.0;1.5;0.2;0.04;0.02;60.23;8.0;38;2.31;19.0;3.58;10.5;0.05;0.01;0.04;0.18;21.9;8.0;82.13;0.05;244;0.87;1.3;14.2;354.0;17.5;14.9;0.45;12.8;2.3;6.3;9.4;0.05;1.5;59;0.6;10.32;30;9.2
MR0033;CDP 680;275183;7901954;Monte Carmelo;0.01;2.89;5.0;105.0;1.7;0.17;0.04;0.03;52.87;20.8;45;2.36;23.5;3.65;10.0;0.05;0.01;0.04;0.2;20.9;12.0;73.77;0.05;634;0.76;0.86;22.2;303.0;11.4;16.6;0.5;10.3;2.0;6.8;5.7;0.03;1.09;59;0.1;14.98;35;13.4
MR0034;CDP 681;280132;7913154;Monte Carmelo;0.01;2.17;9.0;74.0;1.3;0.16;0.04;0.02;72.17;13.5;32;2.2;15.9;3.18;7.9;0.05;0.01;0.03;0.19;29.2;7.0;101.37;0.05;550;0.65;1.29;13.5;251.0;12.3;16.5;0.38;10.0;1.9;5.3;11.2;0.05;1.71;45;0.1;12.52;26;5.3
MR0035;CDP 682;287696;7911427;Monte Carmelo;0.01;1.31;3.0;90.0;0.9;0.12;0.04;0.04;39.57;10.6;29;0.84;20.3;2.8;6.0;0.05;0.01;0.02;0.16;14.6;5.0;54.17;0.06;311;0.52;0.5;18.1;271.0;9.2;10.0;0.41;5.5;1.2;6.7;4.2;0.01;0.76;38;0.1;8.75;26;10.6
MR0036;CDP 683;281755;7918296;Monte Carmelo;0.01;2.06;7.0;108.0;1.2;0.16;0.02;0.04;48.84;24.1;36;1.73;26.6;3.43;8.6;0.05;0.01;0.03;0.14;19.7;8.0;68.54;0.07;664;0.59;0.55;23.0;382.0;11.1;13.2;0.47;7.5;1.6;4.0;5.3;0.01;0.97;50;0.1;16.74;45;9.5
MR0037;CDP 684;286448;7915784;Monte Carmelo;0.01;0.86;2.0;59.0;0.5;0.08;0.02;0.01;36.7;4.4;19;0.71;9.4;1.56;3.6;0.05;0.01;0.02;0.07;15.0;3.0;51.7;0.02;130;0.39;1.04;8.4;194.0;6.5;6.7;0.36;3.1;0.9;7.0;4.0;0.02;0.6;22;0.1;3.65;13;7.1
MR0038;CDP 685;286055;7917366;Monte Carmelo;0.01;1.49;3.0;84.0;0.9;0.12;0.03;0.03;45.24;12.8;30;0.87;18.9;3.32;6.1;0.05;0.01;0.02;0.13;16.6;6.0;61.84;0.05;254;0.58;0.42;15.0;329.0;10.6;11.6;0.31;4.9;0.9;8.6;4.7;0.01;0.76;47;0.1;4.89;31;6.0
